Subj,StimType,ConvDiv,Mfov,MonoReg,BinoReg,NumFade,TimePt,PropFade
S18,rect,div,30,9,21,0,1500,0
S18,rect,div,40,9,31,0,1489,0
S18,rect,div,40,4.5,35.5,189,1475,0.128135593220339
S18,AR,conv,30,9,21,1500,1500,1
S18,AR,conv,30,4.5,25.5,669,1493,0.448091091761554
S18,AR,conv,30,9,21,647,1495,0.432775919732441
S18,AR,conv,30,9,21,1500,1500,1
S18,AR,conv,30,4.5,25.5,769,1490,0.516107382550336
S18,AR,conv,30,4.5,25.5,1267,1497,0.846359385437542
S18,AR,conv,30,9,21,1030,1493,0.689886135298058
S18,AR,conv,30,4.5,25.5,985,1479,0.665990534144692
S18,AR,conv,30,4.5,25.5,799,1480,0.539864864864865
S18,AR,conv,30,9,21,1071,1498,0.714953271028037
S18,AR,conv,40,4.5,35.5,720,1498,0.48064085447263
S18,AR,conv,40,4.5,35.5,930,1489,0.624580255204836
S18,AR,conv,40,9,31,605,1497,0.404141616566466
S18,AR,conv,40,4.5,35.5,1335,1491,0.895372233400402
S18,AR,conv,40,9,31,1347,1500,0.898
S18,AR,conv,40,4.5,35.5,1107,1488,0.743951612903226
S18,AR,conv,40,4.5,35.5,779,1479,0.526707234617985
S18,AR,conv,40,9,31,1017,1492,0.681635388739946
S18,AR,conv,40,9,31,1026,1492,0.687667560321716
S18,AR,conv,40,9,31,769,1497,0.513694054776219
S18,AR,div,30,4.5,25.5,294,1484,0.19811320754717
S18,AR,div,30,4.5,25.5,1500,1500,1
S18,AR,div,30,9,21,1118,1496,0.747326203208556
S18,AR,div,30,9,21,1493,1493,1
S18,AR,div,30,4.5,25.5,1342,1494,0.898259705488621
S18,AR,div,30,4.5,25.5,1086,1498,0.724966622162884
S18,AR,div,30,4.5,25.5,729,1492,0.488605898123324
S18,AR,div,30,9,21,1265,1487,0.850706119704102
S18,AR,div,30,9,21,1207,1456,0.828983516483517
S18,AR,div,40,4.5,35.5,569,1497,0.380093520374082
S18,AR,div,40,9,31,1119,1492,0.75
